time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7947.071047	319.224548	0.840844	-0.241606	239
7949.093919	315.064819	0.833590	-0.238946	241
7951.127119	316.178314	0.826833	-0.234007	243
7953.181210	320.317200	0.835987	-0.234760	245
7955.214769	320.216797	0.853129	-0.235678	247
7957.238282	317.331360	0.853240	-0.233094	249
7959.269294	315.748688	0.849789	-0.230512	251
7961.305660	316.508850	0.851557	-0.229828	253
7963.347856	317.337067	0.853469	-0.229298	255
7965.389322	317.471954	0.857816	-0.228493	1
7967.425443	317.561981	0.862657	-0.226735	3
7969.459166	317.200623	0.867166	-0.225120	5
7971.493723	316.350128	0.868726	-0.223175	7
7973.530566	315.777435	0.867675	-0.221876	9
7975.569911	316.330902	0.868215	-0.220900	11
7977.614268	317.421295	0.871535	-0.219437	13
7979.660320	317.649017	0.880370	-0.218142	15
7981.690345	316.731354	0.889827	-0.215554	17
7983.713214	316.108704	0.888392	-0.214421	19
7985.746012	316.321960	0.879440	-0.214016	21
7987.797877	317.114777	0.884526	-0.212206	23
7989.838003	318.057068	0.895952	-0.211109	25
7991.871402	317.440765	0.902210	-0.210353	27
7993.900292	316.126923	0.903502	-0.209149	29
7995.928870	315.567047	0.900045	-0.208571	31
7997.962594	315.329803	0.898244	-0.207139	33
8000.003898	315.115173	0.901512	-0.205608	35
8002.046745	315.178131	0.904661	-0.203658	37
8004.083836	315.222748	0.908283	-0.202480	39
8006.118099	315.123932	0.911659	-0.201611	41
8008.150745	314.773315	0.912665	-0.200261	43
8010.184031	314.452423	0.913540	-0.199613	45
8012.220914	314.804291	0.914685	-0.198100	47
8014.264041	316.121063	0.915606	-0.197677	49
8016.307417	317.910889	0.921514	-0.196596	51
8018.346161	318.468445	0.930783	-0.195756	53
8020.377972	316.912445	0.938320	-0.194479	55
8022.406872	314.533478	0.936120	-0.192876	57
8024.439601	313.798920	0.931428	-0.191658	59
8026.481126	314.862671	0.929121	-0.191325	61
8028.525257	316.573944	0.933763	-0.191335	63
8030.565226	317.570129	0.942217	-0.191020	65
8032.599727	317.504242	0.948113	-0.191018	67
8034.632051	316.628265	0.950385	-0.189366	69
8036.665176	315.802826	0.950826	-0.186839	71
8038.698584	315.261536	0.951596	-0.184650	73
8040.732905	315.102020	0.951938	-0.183693	75
8042.768602	315.145142	0.952430	-0.183065	77
8044.806242	315.261841	0.954072	-0.181397	79
8046.847000	315.462158	0.956666	-0.180617	81
8048.887704	315.814484	0.959068	-0.180279	83
8050.927288	316.016357	0.961436	-0.179918	85
8052.963784	315.849518	0.964754	-0.180417	87
8054.996562	314.980621	0.968949	-0.180393	89
8057.025412	314.136993	0.971958	-0.179263	91
8059.054391	313.697845	0.966669	-0.179316	93
8061.090741	313.635437	0.960844	-0.178391	95
8063.135511	314.179932	0.963450	-0.177398	97
8065.176660	315.042999	0.968853	-0.176489	99
8067.217007	315.700500	0.974042	-0.176465	101
8069.254766	315.470154	0.976466	-0.176186	103
8071.288180	314.489960	0.979759	-0.175814	105
8073.319920	313.986023	0.981730	-0.175926	107
8075.351396	313.855682	0.983429	-0.175439	109
8077.385054	313.823761	0.983506	-0.174434	111
8079.420162	313.766205	0.983598	-0.172930	113
8081.456353	314.021179	0.984177	-0.172395	115
8083.493533	314.344421	0.984254	-0.171304	117
8085.532158	314.915985	0.985993	-0.171169	119
8087.570795	315.609100	0.988228	-0.170694	121
8089.610516	316.244415	0.991688	-0.169807	123
8091.648567	316.400452	0.995414	-0.168669	125
8093.680882	315.733337	0.999830	-0.167430	127
8095.710219	314.336426	1.001626	-0.165873	129
8097.740338	312.843292	0.998154	-0.164795	131
8099.773659	312.051208	0.994788	-0.164754	133
8101.811733	312.291504	0.994733	-0.164948	135
8103.852203	313.348785	0.995890	-0.165711	137
8105.893487	314.461853	0.997977	-0.166357	139
8107.932582	315.208618	1.001764	-0.165672	141
8109.970834	315.565063	1.005057	-0.165253	143
8112.007470	315.559265	1.006675	-0.163226	145
8114.044374	315.339844	1.007073	-0.160761	147
8116.081942	315.079285	1.007028	-0.159116	149
8118.118481	314.807098	1.007147	-0.157401	151
8120.154376	314.363831	1.008190	-0.155927	153
8122.189600	314.114166	1.009778	-0.156910	155
8124.224073	313.903381	1.011727	-0.156765	157
8126.258064	313.549622	1.014217	-0.156793	159
8128.289831	313.057953	1.016895	-0.156307	161
8130.321193	312.512451	1.017296	-0.154995	163
