time (s)	coil I (A)	last det (V)	int current (uC)
8386.327539	1.087280	0.246717	520.807251
8386.328441	1.541224	0.246717	1910.991577
8386.329393	1.525756	0.246717	3363.510742
8386.330312	1.484520	0.246717	4727.784668
8386.331238	1.445819	0.246717	6066.613281
8386.332141	0.992600	0.246717	6962.931152
8386.333086	0.107893	0.246717	7064.890137
8386.333988	0.090121	0.246717	7146.179199
8386.334909	0.090234	0.246717	7229.285156
8386.335799	0.090220	0.246717	7309.580566
8386.336732	0.090231	0.246717	7393.765625
8386.337636	0.090190	0.246717	7475.297852
8386.338555	0.090227	0.246717	7558.216309
8386.339451	0.090209	0.246717	7639.043457
8386.340398	0.090223	0.246717	7724.484863
8386.341317	0.090154	0.246717	7807.336426
8387.345867	1.069175	0.234435	470.436890
8387.346838	1.542173	0.234435	1967.886841
8387.347749	1.525217	0.234435	3357.359863
8387.348682	1.484813	0.234435	4742.690430
8387.349595	1.446357	0.234435	6063.214844
8387.350543	0.931058	0.234435	6945.858398
8387.351475	0.104520	0.234435	7043.271484
8387.352367	0.090070	0.234435	7123.613770
8387.353310	0.090187	0.234435	7208.659668
8387.354215	0.090183	0.234435	7290.275391
8387.355123	0.090190	0.234435	7372.168457
8387.356020	0.090205	0.234435	7453.082520
8387.356961	0.090223	0.234435	7537.982910
8387.357882	0.090223	0.234435	7621.078613
8387.358802	0.090146	0.234435	7704.013184
8387.359703	0.090238	0.234435	7785.317871
8388.359627	1.081545	0.296632	476.961487
8388.360609	1.541766	0.296632	1990.976074
8388.361552	1.523870	0.296632	3427.985107
8388.362473	1.483649	0.296632	4794.425781
8388.363367	1.445292	0.296632	6086.516602
8388.364323	0.907665	0.296632	6954.244141
8388.365269	0.102451	0.296632	7051.163086
8388.366175	0.090139	0.296632	7132.829102
8388.367092	0.090176	0.296632	7215.520508
8388.368029	0.090205	0.296632	7300.042480
8388.368947	0.090293	0.296632	7382.931641
8388.369835	0.090168	0.296632	7463.001465
8388.370779	0.090249	0.296632	7548.196777
8388.371709	0.090249	0.296632	7632.128418
8388.372606	0.090212	0.296632	7713.048828
8388.373539	0.090231	0.296632	7797.233887
8389.366733	1.076126	0.280084	475.647461
8389.367694	1.541129	0.280084	1956.672485
8389.368621	1.525016	0.280084	3370.362305
8389.369533	1.485641	0.280084	4725.266602
8389.370461	1.446387	0.280084	6067.513672
8389.371415	0.935812	0.280084	6960.278320
8389.372336	0.105205	0.280084	7057.172363
8389.373223	0.090051	0.280084	7137.047852
8389.374171	0.090095	0.280084	7222.458008
8389.375113	0.090117	0.280084	7307.348633
8389.376010	0.090154	0.280084	7388.216797
8389.376940	0.090114	0.280084	7472.022461
8389.377878	0.090157	0.280084	7556.590332
8389.378814	0.090165	0.280084	7640.984375
8389.379704	0.090176	0.280084	7721.240723
8389.380627	0.090099	0.280084	7804.401855
8390.403533	1.067948	0.291512	470.965057
8390.404505	1.540792	0.291512	1968.615112
8390.405436	1.524906	0.291512	3388.302734
8390.406336	1.485509	0.291512	4725.260742
8390.407263	1.446588	0.291512	6066.248047
8390.408225	0.921595	0.291512	6952.822754
8390.409156	0.103641	0.291512	7049.312988
8390.410059	0.090117	0.291512	7130.688965
8390.410972	0.090234	0.291512	7213.072754
8390.411896	0.090297	0.291512	7296.506836
8390.412798	0.090168	0.291512	7377.838867
8390.413695	0.090242	0.291512	7458.785645
8390.414607	0.090198	0.291512	7541.045898
8390.415534	0.090319	0.291512	7624.771484
8390.416446	0.090231	0.291512	7707.062012
8390.417336	0.090227	0.291512	7787.364258
8391.407614	1.133108	0.262239	556.355957
8391.408540	1.542729	0.262239	1984.923462
8391.409474	1.524558	0.262239	3408.860840
8391.410376	1.484509	0.262239	4747.888184
8391.411327	1.445006	0.262239	6122.088867
8391.412279	0.886359	0.262239	6965.902344
8391.413199	0.101602	0.262239	7059.375977
8391.414087	0.090099	0.262239	7139.383789
8391.415042	0.090212	0.262239	7225.536621
8391.415939	0.090201	0.262239	7306.447266
8391.416838	0.090165	0.262239	7387.505371
8391.417726	0.090187	0.262239	7467.591309
8391.418672	0.090187	0.262239	7552.908203
8391.419570	0.090106	0.262239	7633.823730
8391.420467	0.090172	0.262239	7714.708008
8391.421404	0.090264	0.262239	7799.285156
8392.443354	1.073536	0.262190	476.650116
8392.444251	1.539283	0.262190	1857.387329
8392.445220	1.526448	0.262190	3336.515137
8392.446138	1.486754	0.262190	4701.355469
8392.447034	1.448218	0.262190	5998.958496
8392.447988	0.997672	0.262190	6950.737793
8392.448892	0.113035	0.262190	7052.920898
8392.449791	0.090106	0.262190	7133.926270
8392.450680	0.090212	0.262190	7214.125000
8392.451628	0.090267	0.262190	7299.698242
8392.452533	0.090282	0.262190	7381.403320
8392.453437	0.090220	0.262190	7462.961914
8392.454325	0.090146	0.262190	7543.012207
8392.455265	0.090289	0.262190	7627.884277
8392.456183	0.090216	0.262190	7710.702637
8392.457078	0.090216	0.262190	7791.445801
8393.443784	1.063751	0.270606	462.731781
8393.444676	1.538540	0.270606	1835.109497
8393.445640	1.527407	0.270606	3307.530029
8393.446544	1.488212	0.270606	4652.873535
8393.447442	1.450353	0.270606	5955.290039
8393.448406	1.035139	0.270606	6953.164062
8393.449313	0.118711	0.270606	7060.834961
8393.450210	0.090088	0.270606	7141.643555
8393.451102	0.090227	0.270606	7222.125977
8393.452043	0.090322	0.270606	7307.119141
8393.452944	0.090216	0.270606	7388.403809
8393.453833	0.090135	0.270606	7468.534180
8393.454741	0.090245	0.270606	7550.477051
8393.455669	0.090286	0.270606	7634.262207
8393.456570	0.090179	0.270606	7715.513672
8393.457456	0.090267	0.270606	7795.490723
8394.474438	1.062949	0.273554	463.445892
8394.475332	1.538478	0.273554	1838.845093
8394.476320	1.526005	0.273554	3346.537598
8394.477252	1.485699	0.273554	4731.209473
8394.478144	1.447701	0.273554	6022.559082
